Facility Owner,Site Address,Site Municipality,Sector,District,Contaminant,Type of Exceedance,Incident Start Date,Incident End Date,Contaminant Limit,Contaminant Unit,Limit Frequency,No of Exceedances,Quantity Minimum*,Quantity Maximum*,Facility Action,Ministry Action,Lat,Long
1254536 Ontario Limited,2861 Colonial Rd,Ottawa,Miscellaneous Communal,Ottawa,BIOCHEMICAL OXYGEN DEMAND,Approval/Permit Non-Compliance,03/01/2013,04/30/2013,10,mg/L,mon avg,2,12.5,78,Other,Voluntary Abatement Program Underway,45.447116,-75.346587
1254536 Ontario Limited,2861 Colonial Rd,Ottawa,Miscellaneous Communal,Ottawa,TOTAL SUSPENDED SOLIDS,Approval/Permit Non-Compliance,04/01/2013,07/31/2013,10,mg/L,mon avg,4,19.3,24,Other,Voluntary Abatement Program Underway,45.447116,-75.346587
Keith Douglas Lawr and Lee-Ann Ruth Campbell,116 Woods Rd,Ottawa,Miscellaneous Communal,Ottawa,PH - LOW,Approval/Permit Non-Compliance,06/03/2013,06/03/2013,6.5,pH,any,1,6.4,6.4,Ceased Operations,Assessment Complete - No Action Required,45.486784,-76.074965
Sudbury Condominium Corporation #5 - Willisville Sewage Treatment Plant,"Part of Lot 13, Concession 2, Twp of Curtin",Unorganized Territory  (Sudbury District),Miscellaneous Communal,Sudbury,TOTAL SUSPENDED SOLIDS,Policy/Guideline Non-Conformance,01/01/2013,12/31/2013,25,mg/L,mon avg,9,50.9,50.9,Conducting Study,Other Abatement Action Taken,46.527165,-80.988509
The Brockville Society of the Standard Church of America/Weslayan Church of Canada,3545 County Road No. 27,Elizabethtown-Kitley,Miscellaneous Communal,Kingston,CARBONACEOUS BIOCHEMICAL OXYGEN DEMAND,Approval/Permit Non-Compliance,09/25/2013,09/25/2013,10,mg/L,any,1,14,14,New Equipment or Treatment Process Installed,Assessment Underway,44.646182,-75.691577
The Brockville Society of the Standard Church of America/Weslayan Church of Canada,3545 County Road No. 27,Elizabethtown-Kitley,Miscellaneous Communal,Kingston,NITRATE (AS NITROGEN),Approval/Permit, Non-Compliance,04/01/2013,04/01/2013,2.5,mg/L,/quart,1,3.17,3.17,Additional Monitoring Underway,Assessment Underway,44.646182,-75.691577
The Brockville Society of the Standard Church of America/Weslayan Church of Canada,3545 County Road No. 27,Elizabethtown-Kitley,Miscellaneous Communal,Kingston,TOTAL SUSPENDED SOLIDS,Approval/Permit Non-Compliance,09/25/2013,09/25/2013,10,mg/L,any,1,32,32,New Equipment or Treatment Process Installed,Assessment Underway,44.646182,-75.691577
The Brockville Society of the Standard Church of America/Weslayan Church of Canada,3545 County Road No. 27,Elizabethtown-Kitley,Miscellaneous Communal,Kingston,TOTAL SUSPENDED SOLIDS,Approval/Permit Non-Compliance,12/10/2013,12/10/2013,10,mg/L,any,1,40,40,New Equipment or Treatment Process Installed,Assessment Underway,44.646182,-75.691577
The Corporation of the Town of Arnprior -Arnprior Water Pollution Control Plant,Victoria and Albert St,Arnprior,Municipal Sewage,Ottawa,ACUTE LETHALITY - TROUT,Approval/Permit Non-Compliance,12/01/2013,12/31/2013,Pass,acute toxicity,/mon,1,Fail,Fail,Operational Process Modification,Assessment Complete - No Action Required,45.368021,-75.7669024
The Corporation of the Town of Cochrane - Cochrane Sewage Treatment Plant,PCL 2688 former Township of Glackmeyer,Cochrane,Municipal Sewage,Timmins,BIOCHEMICAL OXYGEN DEMAND,Approval/Permit Non-Compliance,07/01/2013,12/31/2013,20,mg/L,rolling avg,6,59.9,63.16,None Required,Voluntary Abatement Program Underway,48.481141,-81.353201
